id_Ville,Num_Dep,Nom_Ville,Longitude,Latitude
359,1,SAINT-GERMAIN-SUR-RENON,5.05,46.0833
360,1,VILLETTE-SUR-AIN,5.26862,45.9884
361,1,DAGNEUX,5.06667,45.85
362,1,BOISSEY,5,46.3833
363,1,SALAVRE,5.35,46.3667
364,1,BRION,5.55251,46.1728
365,1,LABALME,5.48333,46.1
366,1,SAUVERNY,6.11667,46.3167
367,1,MONTCEAUX,4.8,46.1
368,1,BRENOD,5.6,46.0667
369,1,MISERIEUX,4.81667,45.9833
370,1,PREVESSIN-MOENS,6.08333,46.25
371,1,LENT,5.2,46.1167
372,1,MARSONNAS,5.06667,46.3333
373,1,MANZIAT,4.9,46.35
374,1,TREVOUX,4.76667,45.9333
375,1,BELLEGARDE-SUR-VALSERINE,5.81667,46.1
376,1,BOURG-EN-BRESSE,5.21667,46.2
377,1,CONFORT,5.81667,46.15
378,1,SAINT-DENIS-LES-BOURG,5.2,46.2
379,1,MASSIGNIEU-DE-RIVES,5.76667,45.75
380,1,SAINT-ETIENNE-SUR-CHALARONNE,4.86667,46.15
381,1,BOHAS-MEYRIAT-RIGNAT,5.4,46.1333
382,1,CHEVRY,6.03333,46.2833
383,1,FAREINS,4.76667,46.0167
384,1,GORREVOD,4.95,46.4167
385,1,VALEINS,4.86667,46.1167
386,1,VIEU-D'IZENAVE,5.53333,46.0833
387,1,TOUSSIEUX,4.83333,45.9667
388,1,ARBIGNY,4.96667,46.4667
389,1,MALAFRETAZ,5.15,46.3167
390,1,SAMOGNAT,5.58333,46.25
391,1,CRAS-SUR-REYSSOUZE,5.16667,46.3
392,1,MESSIMY-SUR-SAONE,4.76473,46.0484
393,1,POUGNY,5.95,46.1333
394,1,SANDRANS,4.98333,46.0667
395,1,PONT-DE-VEYLE,4.88333,46.2667
396,1,MIJOUX,6,46.3667
397,1,SAINT-JEAN-DE-GONVILLE,5.95,46.2167
398,1,SAINT-ANDRE-LE-BOUCHOUX,5.08333,46.1167
399,1,CHANEINS,4.85,46.1
400,1,JOYEUX,5.1,45.95
401,1,TRAMOYES,4.96667,45.8667
402,1,BIZIAT,4.93333,46.2167
403,1,IZENAVE,5.53333,46.0333
404,1,BELMONT-LUTHEZIEU,5.66167,45.8795
405,1,ARBENT,5.68333,46.3
