Num_commune,Num_Dep,Nom_Ville,Longitude,Latitude
02415,02,LAVERSINE,3.16667,49.35
02575,02,ORIGNY-SAINTE-BENOITE,3.5,49.8333
02249,02,CUIRY-HOUSSE,3.48333,49.3
02548,02,LA NEUVILLE-LES-DORENGT,3.68333,49.9667
02091,02,BLANZY-LES-FISMES,3.66667,49.3333
02370,02,HARGICOURT,3.18,49.9623
02816,02,VILLERS-SUR-FERE,3.53333,49.1833
02378,02,LA HERIE,4.05,49.8833
02099,02,BONNESVALYN,3.31667,49.1167
02377,02,HAUTION,3.83333,49.85
02077,02,BERZY-LE-SEC,3.31667,49.3333
02759,02,LA VALLEE-AU-BLE,3.78333,49.8667
02143,02,LE CATELET,3.25,50
02346,02,GIZY,3.76667,49.6
02670,02,SAINT-ALGIS,3.81667,49.8833
02671,02,SAINT-AUBIN,3.18333,49.5167
02044,02,BANCIGNY,4.01667,49.8
02806,02,VILLENEUVE-SUR-FERE,3.46667,49.1833
02316,02,FLEURY,3.15639,49.2581
02633,02,QUINCY-SOUS-LE-MONT,3.55,49.3
02080,02,BESNY-ET-LOIZY,3.58333,49.6
02181,02,CHERY-LES-ROZOY,4.08333,49.7167
02173,02,CHAUNY,3.21667,49.6167
02726,02,SOMMETTE-EAUCOURT,3.11667,49.7333
02429,02,LIERVAL,3.61667,49.4833
02186,02,CHEZY-SUR-MARNE,3.36667,48.9833
02578,02,OULCHES-LA-VALLEE-FOULON,3.75,49.4333
02018,02,ANIZY-LE-CHATEAU,3.45,49.5
02453,02,MAIZY,3.73333,49.3833
02329,02,FOURDRAIN,3.46667,49.6
02536,02,NAMPTEUIL-SOUS-MURET,3.41667,49.3
02755,02,URCEL,3.55,49.5
02441,02,LOUATRE,3.25,49.25
02050,02,BARZY-EN-THIERACHE,3.75,50.0333
02209,02,CONDE-EN-BRIE,3.55,49
02259,02,DAMPLEUX,3.15,49.25
02724,02,SOMMELANS,3.3,49.1333
02615,02,PONTRUET,3.23333,49.9
02568,02,OIGNY-EN-VALOIS,3.13333,49.2167
02442,02,LOUPEIGNE,3.53333,49.25
02427,02,LHUYS,3.55,49.2833
02278,02,EPARCY,4.06667,49.8667
